commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 40.00,Rs 45.00,Rs 43.00
Tomato Small(Local),KG,Rs 50.00,Rs 55.00,Rs 53.00
Potato Red,KG,Rs 45.00,Rs 47.00,Rs 46.00
Potato White,KG,Rs 40.00,Rs 42.00,Rs 41.00
Onion Dry (Indian),KG,Rs 40.00,Rs 42.00,Rs 41.00
Carrot(Local),KG,Rs 90.00,Rs 100.00,Rs 97.00
Cabbage(Local),KG,Rs 15.00,Rs 18.00,Rs 16.00
Cauli Local,KG,Rs 40.00,Rs 45.00,Rs 42.00
Raddish White(Local),KG,Rs 12.00,Rs 16.00,Rs 14.00
Brinjal Long,KG,Rs 14.00,Rs 18.00,Rs 16.00
Brinjal Round,KG,Rs 25.00,Rs 30.00,Rs 28.00
Cow pea(Long),KG,Rs 45.00,Rs 50.00,Rs 48.00
French Bean(Local),KG,Rs 40.00,Rs 45.00,Rs 42.00
Sword Bean,KG,Rs 100.00,Rs 110.00,Rs 105.00
Soyabean Green,KG,Rs 45.00,Rs 50.00,Rs 47.00
Bitter Gourd,KG,Rs 20.00,Rs 25.00,Rs 22.00
Bottle Gourd,KG,Rs 18.00,Rs 20.00,Rs 19.00
Pointed Gourd(Local),KG,Rs 35.00,Rs 40.00,Rs 38.00
Snake Gourd,KG,Rs 18.00,Rs 20.00,Rs 19.00
Smooth Gourd,KG,Rs 14.00,Rs 16.00,Rs 15.00
Sponge Gourd,KG,Rs 35.00,Rs 40.00,Rs 38.00
Pumpkin,KG,Rs 28.00,Rs 30.00,Rs 29.00
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Okara,KG,Rs 28.00,Rs 30.00,Rs 29.00
Arum,KG,Rs 45.00,Rs 50.00,Rs 48.00
Christophine,KG,Rs 16.00,Rs 18.00,Rs 17.00
Brd Leaf Mustard,KG,Rs 55.00,Rs 60.00,Rs 58.00
Spinach Leaf,KG,Rs 55.00,Rs 60.00,Rs 58.00
Mustard Leaf,KG,Rs 55.00,Rs 60.00,Rs 58.00
Onion Green,KG,Rs 55.00,Rs 60.00,Rs 58.00
Mushroom(Kanya),KG,Rs 160.00,Rs 180.00,Rs 173.00
Asparagus,KG,Rs 250.00,Rs 300.00,Rs 275.00
Neuro,KG,Rs 60.00,Rs 70.00,Rs 65.00
Brocauli,KG,Rs 140.00,Rs 150.00,Rs 145.00
Sugarbeet,KG,Rs 60.00,Rs 70.00,Rs 65.00
Red Cabbbage,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mint,KG,Rs 140.00,Rs 150.00,Rs 145.00
Tamarind,KG,Rs 90.00,Rs 100.00,Rs 97.00
Bamboo Shoot,KG,Rs 80.00,Rs 90.00,Rs 87.00
Tofu,KG,Rs 60.00,Rs 70.00,Rs 65.00
Gundruk,KG,Rs 190.00,Rs 200.00,Rs 195.00
Apple(Jholey),KG,Rs 100.00,Rs 120.00,Rs 110.00
Banana,Per Dozen,Rs 60.00,Rs 70.00,Rs 65.00
Lime,KG,Rs 300.00,Rs 400.00,Rs 367.00
Pomegranate,KG,Rs 170.00,Rs 180.00,Rs 175.00
Mango(Maldah),KG,Rs 80.00,Rs 90.00,Rs 85.00
Water Melon(Green),KG,Rs 45.00,Rs 50.00,Rs 48.00
Sweet Orange,KG,Rs 80.00,Rs 90.00,Rs 85.00
Pineapple,1 Pc,Rs 80.00,Rs 90.00,Rs 85.00
Cucumber(Local),KG,Rs 40.00,Rs 45.00,Rs 43.00
Jack Fruit,KG,Rs 25.00,Rs 30.00,Rs 28.00
Pear(Local),KG,Rs 40.00,Rs 50.00,Rs 47.00
Papaya(Nepali),KG,Rs 55.00,Rs 60.00,Rs 58.00
Guava,KG,Rs 45.00,Rs 50.00,Rs 48.00
Mombin,KG,Rs 28.00,Rs 30.00,Rs 29.00
Ginger,KG,Rs 120.00,Rs 130.00,Rs 123.00
Chilli Dry,KG,Rs 220.00,Rs 230.00,Rs 227.00
Chilli Green,KG,Rs 40.00,Rs 45.00,Rs 42.00
Capsicum,KG,Rs 40.00,Rs 45.00,Rs 42.00
Garlic Green,KG,Rs 55.00,Rs 60.00,Rs 58.00
Coriander Green,KG,Rs 150.00,Rs 200.00,Rs 167.00
Garlic Dry Chinese,KG,Rs 108.00,Rs 112.00,Rs 110.00
Garlic Dry Nepali,KG,Rs 60.00,Rs 70.00,Rs 67.00
Clive Dry,KG,Rs 110.00,Rs 120.00,Rs 117.00
Fish Fresh,KG,Rs 220.00,Rs 230.00,Rs 227.00
