commodities,unit,minimum,maximum,average

Tomato Small(Local),KG,Rs 10.00,Rs 15.00,Rs 12.00
Tomato Small(Tunnel),KG,Rs 15.00,Rs 20.00,Rs 18.00
Potato Red,KG,Rs 49.00,Rs 51.00,Rs 50.00
Potato Red(Mude),KG,Rs 39.00,Rs 41.00,Rs 40.00
Onion Dry (Indian),KG,Rs 30.00,Rs 32.00,Rs 31.00
Carrot(Local),KG,Rs 50.00,Rs 55.00,Rs 52.00
Cabbage(Local),KG,Rs 15.00,Rs 20.00,Rs 18.00
Cauli Local,KG,Rs 95.00,Rs 100.00,Rs 98.00
Raddish White(Local),KG,Rs 40.00,Rs 45.00,Rs 42.00
Raddish White(Hybrid),KG,Rs 40.00,Rs 45.00,Rs 42.00
Brinjal Long,KG,Rs 45.00,Rs 50.00,Rs 48.00
Cow pea(Long),KG,Rs 30.00,Rs 35.00,Rs 33.00
French Bean(Local),KG,Rs 45.00,Rs 50.00,Rs 48.00
French Bean(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 55.00
Soyabean Green,KG,Rs 65.00,Rs 70.00,Rs 68.00
Bitter Gourd,KG,Rs 25.00,Rs 30.00,Rs 28.00
Bottle Gourd,KG,Rs 45.00,Rs 50.00,Rs 48.00
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Snake Gourd,KG,Rs 30.00,Rs 35.00,Rs 33.00
Smooth Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sponge Gourd,KG,Rs 45.00,Rs 50.00,Rs 48.00
Pumpkin,KG,Rs 25.00,Rs 30.00,Rs 28.00
Okara,KG,Rs 40.00,Rs 45.00,Rs 42.00
Brd Leaf Mustard,KG,Rs 60.00,Rs 70.00,Rs 65.00
Spinach Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cress Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Onion Green,KG,Rs 75.00,Rs 80.00,Rs 78.00
Mushroom(Kanya),KG,Rs 240.00,Rs 250.00,Rs 245.00
Mushroom(Button),KG,Rs 390.00,Rs 400.00,Rs 395.00
Asparagus,KG,Rs 250.00,Rs 260.00,Rs 255.00
Neuro,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mint,KG,Rs 80.00,Rs 90.00,Rs 85.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tamarind,KG,Rs 130.00,Rs 140.00,Rs 135.00
Bamboo Shoot,KG,Rs 110.00,Rs 120.00,Rs 115.00
Tofu,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 290.00,Rs 300.00,Rs 295.00
Apple(Jholey),KG,Rs 90.00,Rs 100.00,Rs 95.00
Apple(Fuji),KG,Rs 140.00,Rs 150.00,Rs 145.00
Banana,Per Dozen,Rs 70.00,Rs 80.00,Rs 75.00
Lime,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pomegranate,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mango(Maldah),KG,Rs 60.00,Rs 70.00,Rs 65.00
Water Melon(Green),KG,Rs 30.00,Rs 35.00,Rs 33.00
Papaya(Indian),KG,Rs 70.00,Rs 80.00,Rs 75.00
Litchi(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Ginger,KG,Rs 130.00,Rs 140.00,Rs 135.00
Chilli Dry,KG,Rs 290.00,Rs 300.00,Rs 295.00
Chilli Green,KG,Rs 35.00,Rs 40.00,Rs 38.00
Chilli Green(Bullet),KG,Rs 35.00,Rs 40.00,Rs 38.00
Chilli Green(Machhe),KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Akbare),KG,Rs 120.00,Rs 130.00,Rs 125.00
Capsicum,KG,Rs 90.00,Rs 100.00,Rs 95.00
Garlic Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Coriander Green,KG,Rs 490.00,Rs 500.00,Rs 495.00
Garlic Dry Chinese,KG,Rs 170.00,Rs 180.00,Rs 175.00
Garlic Dry Nepali,KG,Rs 130.00,Rs 140.00,Rs 135.00
Fish Fresh(Rahu),KG,Rs 325.00,Rs 330.00,Rs 328.00
Fish Fresh(Bachuwa),KG,Rs 225.00,Rs 230.00,Rs 228.00
Fish Fresh(Chhadi),KG,Rs 215.00,Rs 220.00,Rs 218.00
Fish Fresh(Mungari),KG,Rs 225.00,Rs 230.00,Rs 228.00
