commodities,unit,minimum,maximum,average
Capsicum,KG,Rs 110.00,Rs 120.00,Rs 116.00
Garlic Green,KG,Rs 180.00,Rs 200.00,Rs 193.33
Coriander Green,KG,Rs 150.00,Rs 200.00,Rs 183.33
Garlic Dry Chinese,KG,Rs 220.00,Rs 230.00,Rs 225.00
Garlic Dry Nepali,KG,Rs 180.00,Rs 190.00,Rs 186.67
Clive Dry,KG,Rs 320.00,Rs 350.00,Rs 335.00
Clive Green,KG,Rs 150.00,Rs 180.00,Rs 170.00
Fish Fresh(Rahu),KG,Rs 290.00,Rs 310.00,Rs 300.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 260.00,Rs 253.33
Fish Fresh(Chhadi),KG,Rs 250.00,Rs 260.00,Rs 256.67
Fish Fresh(Mungari),KG,Rs 250.00,Rs 260.00,Rs 256.67
